Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,Ice,,,,,,,,,,,,,,,,,,,,,1.72E+02,,,,,
6,ice,100,5,2,1,26,7,,,,,,,0,,72,2,5,,,40,1.73E+02,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,81,4,2,1,30,7,,,,,,,1,,82,2,3,,no,40,174,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,71,10,1,0,32,7,,,,,,,0,,50,1,4,,No,34,175,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,93,5,2,1,30,7,0,,55,2,5,,No,37,176,Software,Male Treat,James Smith,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,177,,,,,
1,,,,,,,,,,,,,,,,,,,,,,178,,,,,
6,ice,100,12,3,0,32,7,,,,,,,0,,71,3,6,,No,34,179,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,81,2,2,0,25,8,1,,82,3,5,,No,45,1.80E+02,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,90,10,2,0,35,7,0,,76,3,5,,No,30,1.81E+02,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,85,10,2,1,34,5,,,,,,,1,,79,3,5,,No,32,182,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,73,10,2,1,33,7,10,Agender,75,2,5,,No.,42,183,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,100,10,2,0,30,6,0,,68,2,5,,No,37,184,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,95,10,2,0,28,7,,,,,,,1,,52,3,6,,No,28,185,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,100,10,2,1,40,6,0,,78,2,5,,No,43,186,Software,Male Treat,James Smith,6 years,4 years
6,ice,98,10,2,0,36,7,,,,,,,0,,64,1,5,,,,187,HR,Female Treat,Sarah Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,1.88E+02,,,,,
1,,,,,,,,,,,,,,,,,,,,,,1.89E+02,,,,,
6,ice,99,9,2,0,37,7,,,,,,,0,,72,2,5,,,33,190,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,9,3,0,34,7,,,,,,,0,,74,2,5,,No,38,191,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,69,6,6,0,27,7,,,,,,,1,,80,2,3,,no,40,192,HR,Female Treat,Sarah Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,193,,,,,
6,Ice,,,,,,,,,,,,,,,,,,,,,194,,,,,
6,ice,80,10,2,0,34,7,,,,,,,1,,69,2,4,,No,40,195,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,1.96E+02,,,,,
6,ice,58,10,2,0,35,7,,,,,,,0,,69,2,6,,No,36,1.97E+02,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
